# create_bands_n3lo.py -sqrts 50
# LO cross-section {center, min, max}
0.027491901 0.027013792 0.027921356 


# LO ptHH {ptmin, ptmax, center, min, max}
0.62831853 0.9424778 0.0041881585 0.004112929 0.0042767424 
0.9424778 1.2566371 0.0046908372 0.0046067182 0.0047756567 
1.2566371 1.5707963 0.0055505778 0.0054333177 0.0056372801 
1.5707963 1.8849556 0.0068014838 0.0066981674 0.006928566 
1.8849556 2.1991149 0.0087346372 0.0085835308 0.0088932595 
2.1991149 2.5132741 0.011767601 0.011564149 0.01189531 
2.5132741 2.8274334 0.016157872 0.015895409 0.016336309 
2.8274334 3.1415927 0.021893246 0.021514355 0.022240431 


# LO ptH_h {ptmin, ptmax, center, min, max}
0.0 30.0 8.5064064e-06 8.3612811e-06 8.6248913e-06 
30.0 60.0 7.6722783e-05 7.5975532e-05 7.689265e-05 
60.0 90.0 0.00015306946 0.00015241068 0.00015306946 
90.0 120.0 0.00017000813 0.00016815333 0.00017132511 
120.0 150.0 0.00014411198 0.00014182434 0.00014597862 
150.0 180.0 0.00010662899 0.00010422065 0.00010894167 
180.0 210.0 7.4464583e-05 7.2451255e-05 7.6133734e-05 
210.0 240.0 5.1091649e-05 4.9649777e-05 5.2651665e-05 
240.0 270.0 3.5031407e-05 3.3869544e-05 3.6095919e-05 
270.0 300.0 2.4201177e-05 2.3317596e-05 2.5291987e-05 


# LO yH_h {ptmin, ptmax, center, min, max}
-5.0 -4.9 2.224546e-05 2.224546e-05 2.8338941e-05 
-4.9 -4.8 3.852056e-05 3.769512e-05 4.6309794e-05 
-4.8 -4.7 7.0442693e-05 5.8009262e-05 7.0442693e-05 
-4.7 -4.6 8.509609e-05 8.4852273e-05 9.4982528e-05 
-4.6 -4.5 0.00013126323 0.0001222012 0.00013126323 
-4.5 -4.4 0.00017567391 0.00016350459 0.00019382773 
-4.4 -4.3 0.00024125613 0.00021883705 0.00026793838 
-4.3 -4.2 0.0003089872 0.00030092019 0.00032789425 
-4.2 -4.1 0.0003870559 0.00037443331 0.00040209805 
-4.1 -4.0 0.00048701892 0.00046760778 0.00050890241 
-4.0 -3.9 0.00058481286 0.00056186803 0.00061022116 
-3.9 -3.8 0.00070627522 0.00067279447 0.00072347339 
-3.8 -3.7 0.000791779 0.00076718903 0.00083059302 
-3.7 -3.6 0.00093519717 0.00092177187 0.00096382549 
-3.6 -3.5 0.0010802499 0.0010481346 0.0011013497 
-3.5 -3.4 0.0012366191 0.0012009377 0.0012701875 
-3.4 -3.3 0.0013748283 0.001342917 0.0014556218 
-3.3 -3.2 0.0015442749 0.0014954386 0.0015812359 
-3.2 -3.1 0.0017203986 0.0016635964 0.0017374069 
-3.1 -3.0 0.0018700569 0.0018153615 0.0019189874 
-3.0 -2.9 0.0020337484 0.0020041087 0.0020858874 
-2.9 -2.8 0.0021680611 0.0021261203 0.0022318989 
-2.8 -2.7 0.0023773626 0.0023357146 0.0024393289 
-2.7 -2.6 0.0025729657 0.0025130979 0.0025946563 
-2.6 -2.5 0.0027347396 0.0026882294 0.0027678703 
-2.5 -2.4 0.0029023349 0.0028108299 0.0029176065 
-2.4 -2.3 0.003027632 0.0029823474 0.0031202039 
-2.3 -2.2 0.0031890912 0.0031208944 0.0032500935 
-2.2 -2.1 0.0034150493 0.0033662998 0.0034689933 
-2.1 -2.0 0.0035517395 0.0034567976 0.0035767137 
-2.0 -1.9 0.0037118583 0.0036455016 0.003764375 
-1.9 -1.8 0.003849121 0.003763156 0.003899842 
-1.8 -1.7 0.0040201975 0.0039890864 0.004063318 
-1.7 -1.6 0.0041243787 0.0040648781 0.0041914723 
-1.6 -1.5 0.0042724349 0.0041841849 0.004320719 
-1.5 -1.4 0.0043877092 0.0043589358 0.0044913615 
-1.4 -1.3 0.0045539972 0.0044344599 0.0045912424 
-1.3 -1.2 0.0046319376 0.0045664417 0.004738346 
-1.2 -1.1 0.0048073361 0.0047277989 0.0048073361 
-1.1 -1.0 0.0048914676 0.0048070945 0.0049567436 
-1.0 -0.9 0.004976485 0.0048993659 0.0050769481 
-0.9 -0.8 0.0049784411 0.0049607727 0.0050428004 
-0.8 -0.7 0.0050628453 0.0049929364 0.0051174626 
-0.7 -0.6 0.0052203384 0.0051057345 0.0052544768 
-0.6 -0.5 0.0052923016 0.0052273947 0.0053339124 
-0.5 -0.4 0.0052268211 0.0051877153 0.0053602716 
-0.4 -0.3 0.0053012045 0.0052029314 0.0053205264 
-0.3 -0.2 0.0054147594 0.0053332193 0.0054626518 
-0.2 -0.1 0.0053839279 0.0053262939 0.0054424004 
-0.1 0.0 0.0053500759 0.0053124944 0.0054390269 
0.0 0.1 0.0054146585 0.0053520271 0.0054615397 
0.1 0.2 0.0054696237 0.0053839575 0.0054696237 
0.2 0.3 0.0053789571 0.0052823184 0.0054778641 
0.3 0.4 0.005309622 0.0052566114 0.0054014762 
0.4 0.5 0.0053190303 0.0052835081 0.0053380233 
0.5 0.6 0.0052897748 0.0052051707 0.0053458147 
0.6 0.7 0.005193666 0.0051257597 0.0052482015 
0.7 0.8 0.0051347525 0.0050647953 0.005229063 
0.8 0.9 0.0050698322 0.0049643296 0.005154049 
0.9 1.0 0.0050209457 0.0049044419 0.0051273613 
1.0 1.1 0.0048816544 0.0048564266 0.0049484907 
1.1 1.2 0.0047947299 0.0047251977 0.0047947299 
1.2 1.3 0.0046261848 0.0045632559 0.0047055035 
1.3 1.4 0.0045201327 0.0044353824 0.0045748285 
1.4 1.5 0.004407135 0.0043507521 0.0044677037 
1.5 1.6 0.0042872923 0.0042426396 0.0043326207 
1.6 1.7 0.0041353224 0.0040856901 0.004188156 
1.7 1.8 0.0040147555 0.0039471608 0.0040664572 
1.8 1.9 0.0038535394 0.0037583594 0.0039141993 
1.9 2.0 0.0036896721 0.0036462202 0.0037897281 
2.0 2.1 0.003557825 0.0034885105 0.0036254857 
2.1 2.2 0.0033408685 0.0032929181 0.0033984416 
2.2 2.3 0.0032100412 0.0031531576 0.0032744566 
2.3 2.4 0.003096715 0.003037432 0.0031141587 
2.4 2.5 0.0029046701 0.0028388742 0.0029720309 
2.5 2.6 0.0027396748 0.002684791 0.0027660329 
2.6 2.7 0.0025544262 0.0024912149 0.0026220865 
2.7 2.8 0.0023752236 0.0023485721 0.0024473993 
2.8 2.9 0.0022187619 0.0021542924 0.0022695715 
2.9 3.0 0.0020661829 0.0020253152 0.0021281821 
3.0 3.1 0.0018756715 0.0018105335 0.0019239813 
3.1 3.2 0.0017071724 0.0016679124 0.001733041 
3.2 3.3 0.0015559414 0.0015127503 0.0016070398 
3.3 3.4 0.0013903475 0.0013460129 0.0014223411 
3.4 3.5 0.0012328981 0.0012098948 0.0012768364 
3.5 3.6 0.0010681713 0.0010265266 0.0010968677 
3.6 3.7 0.00094695771 0.00090097469 0.00097456655 
3.7 3.8 0.0008096506 0.00078507535 0.00081991444 
3.8 3.9 0.00068072576 0.00067484187 0.0007136433 
3.9 4.0 0.00059825639 0.00055450915 0.0006184053 
4.0 4.1 0.0004562202 0.00044786984 0.00049585595 
4.1 4.2 0.00038156305 0.00036008906 0.0003879816 
4.2 4.3 0.00029914194 0.00028408111 0.00031459014 
4.3 4.4 0.00023536013 0.00022054432 0.00025399043 
