# create_lambda_band.py -l 1.0 -n3lo
# N3LO cross-section {center, min, max}
0.0084047344 0.0084019139 0.008412005 


# N3LO ptHH {ptmin, ptmax, center, min, max}
1.7 1.8 0.001272901 0.0012719702 0.0012735835 
1.8 1.9 0.0012138458 0.0012130914 0.0012150766 
1.9 2.0 0.0011549521 0.001154902 0.0011560136 
2.0 2.1 0.0010919797 0.0010915229 0.0010929269 
2.1 2.2 0.0010236483 0.0010233071 0.0010250857 
2.2 2.3 0.00095806156 0.00095733581 0.00095890719 
2.3 2.4 0.00089198699 0.00089175324 0.00089338414 
2.4 2.5 0.0008294103 0.00082921347 0.0008300946 
2.5 2.6 0.00076032734 0.00075970926 0.00076164385 
2.6 2.7 0.00069834343 0.00069799958 0.00069863854 
2.7 2.8 0.00062818132 0.00062803683 0.00062925437 
2.8 2.9 0.00056059988 0.0005603327 0.00056105957 
2.9 3.0 0.0004980726 0.00049769785 0.0004985456 
3.0 3.1 0.00044168012 0.00044153509 0.00044252336 
3.1 3.2 0.00038269513 0.00038245044 0.00038295466 
3.2 3.3 0.00032903796 0.00032883225 0.00032957367 
3.3 3.4 0.00027736614 0.00027707716 0.00027793942 
3.4 3.5 0.00022923248 0.00022917083 0.00022959036 
3.5 3.6 0.00018915906 0.00018888675 0.00018943603 
3.6 3.7 0.00015070166 0.00015047408 0.00015075423 
3.7 3.8 0.00011761426 0.00011749671 0.00011787917 
3.8 3.9 8.8249288e-05 8.8136527e-05 8.8364187e-05 
3.9 4.0 6.7312993e-05 6.7124902e-05 6.7402888e-05 
4.0 4.1 4.5925041e-05 4.5876408e-05 4.5979882e-05 
4.1 4.2 3.1581108e-05 3.1525473e-05 3.1587163e-05 
4.2 4.3 2.0705267e-05 2.0622071e-05 2.0734345e-05 
4.3 4.4 1.3078373e-05 1.3042769e-05 1.3078373e-05 
4.4 4.5 7.3200705e-06 7.3060216e-06 7.3694848e-06 
4.5 4.6 3.8077923e-06 3.7826707e-06 3.8194002e-06 
4.6 4.7 1.870261e-06 1.870261e-06 1.8749733e-06 
4.7 4.8 7.8668911e-07 7.6679207e-07 7.9178356e-07 
4.8 4.9 2.753291e-07 2.7458522e-07 2.8283278e-07 
