# create_lambda_band.py -l -4 -e 14 -nnlo
# NNLO cross-section {center, min, max}
0.047112896 0.046984641 0.047186289 


# NNLO ptHH {ptmin, ptmax, center, min, max}
2.5132741 2.8274334 0.027653261 0.027574644 0.027699338 
2.8274334 3.1415927 0.038697387 0.038574063 0.038758405 


# NNLO ptH_h {ptmin, ptmax, center, min, max}
0.0 30.0 1.7151085e-05 1.7088396e-05 1.7210811e-05 
30.0 60.0 0.00015066894 0.000150158 0.00015111643 
60.0 90.0 0.0002956956 0.00029482328 0.0002963942 
90.0 120.0 0.00031987652 0.00031896529 0.00032046325 
120.0 150.0 0.00026083783 0.00026017296 0.00026121441 
150.0 180.0 0.00018504878 0.00018459063 0.00018527001 
180.0 210.0 0.0001221417 0.00012184911 0.0001222795 
210.0 240.0 7.816781e-05 7.7979206e-05 7.8228972e-05 
240.0 270.0 4.9441856e-05 4.9334127e-05 4.9483619e-05 
270.0 300.0 3.1336512e-05 3.1265879e-05 3.1359014e-05 


# NNLO yH_h {ptmin, ptmax, center, min, max}
-5.0 -4.9 0.0 0.0 0.0 
-4.9 -4.8 0.0 0.0 0.0 
-4.8 -4.7 0.0 0.0 0.0 
-4.7 -4.6 1.9118678e-11 1.7155249e-11 3.1483504e-11 
-4.6 -4.5 1.5891627e-10 1.5326961e-10 2.0126269e-10 
-4.5 -4.4 4.0412109e-09 3.73808e-09 4.6192371e-09 
-4.4 -4.3 2.7483274e-08 2.6361761e-08 3.0874127e-08 
-4.3 -4.2 1.2163538e-07 1.1471297e-07 1.2977147e-07 
-4.2 -4.1 4.6367239e-07 4.4970654e-07 4.6367239e-07 
-4.1 -4.0 1.7492496e-06 1.7383058e-06 1.7525169e-06 
-4.0 -3.9 3.514914e-06 3.4068612e-06 3.6163e-06 
-3.9 -3.8 8.0511677e-06 7.8959659e-06 8.0861704e-06 
-3.8 -3.7 1.5753955e-05 1.5753955e-05 1.5954442e-05 
-3.7 -3.6 3.0114534e-05 2.9528385e-05 3.0130484e-05 
