# create_lambda_band.py -l 7 -e 100 -n3lo
# N3LO cross-section {center, min, max}
1.1317963 1.1313926 1.1332442 


# N3LO ptHH {ptmin, ptmax, center, min, max}
2.4 2.5 0.12401742 0.1239514 0.12419165 
2.5 2.6 0.11728399 0.11721002 0.11744867 
2.6 2.7 0.11066884 0.11066884 0.11087216 
2.7 2.8 0.10395746 0.10389784 0.10411112 
2.8 2.9 0.097689586 0.097677467 0.097827307 
2.9 3.0 0.090403396 0.090311856 0.090551102 
3.0 3.1 0.083959193 0.08389912 0.084039809 
3.1 3.2 0.077302073 0.077266228 0.077486872 
3.2 3.3 0.070221953 0.070182022 0.07035862 
3.3 3.4 0.064015177 0.064000056 0.064163115 
3.4 3.5 0.057965642 0.057922376 0.058048421 
3.5 3.6 0.051861577 0.051828036 0.051978497 
3.6 3.7 0.045728009 0.045715108 0.045850572 
3.7 3.8 0.040187432 0.040177088 0.040251373 
3.8 3.9 0.034650107 0.03464546 0.034748866 
3.9 4.0 0.029987846 0.029969236 0.030056298 
4.0 4.1 0.025399797 0.025373127 0.025467293 
4.1 4.2 0.021202368 0.02118701 0.021250984 
4.2 4.3 0.017526172 0.017524613 0.017586992 
4.3 4.4 0.014151282 0.014103249 0.014179559 
4.4 4.5 0.011306735 0.011291289 0.011336039 
4.5 4.6 0.0086826553 0.0086826553 0.0087175596 
4.6 4.7 0.0066701186 0.0066604036 0.0066937042 
4.7 4.8 0.0050037903 0.0049947613 0.0050223474 
4.8 4.9 0.0036306022 0.003624436 0.0036432496 
4.9 5.0 0.0025828492 0.0025798461 0.0025888362 


# N3LO ptH_s {ptmin, ptmax, center, min, max}
0.0 30.0 0.0044514463 0.004449401 0.0044577341 
30.0 60.0 0.009244311 0.0092407906 0.009257485 
60.0 90.0 0.0083994002 0.0083964871 0.0084098061 
90.0 120.0 0.0057789595 0.0057771077 0.0057859561 
120.0 150.0 0.003585762 0.0035846405 0.0035899478 
150.0 180.0 0.0021768449 0.0021761505 0.0021792825 
180.0 210.0 0.0013327226 0.0013324059 0.0013345915 
210.0 240.0 0.00083954519 0.00083914852 0.00084032448 
240.0 270.0 0.00054301548 0.00054273109 0.00054349782 
270.0 300.0 0.00036128546 0.00036120788 0.00036182802 


# N3LO yH_s {ptmin, ptmax, center, min, max}
-5.0 -4.9 0.0032819332 0.0032684728 0.0033265294 
-4.9 -4.8 0.0044172123 0.0043941448 0.0044305566 
-4.8 -4.7 0.0061202685 0.0061060602 0.0061379948 
-4.7 -4.6 0.0076262229 0.0076175027 0.007651252 
-4.6 -4.5 0.0097420612 0.0097420612 0.0097703037 
-4.5 -4.4 0.012631497 0.012621729 0.012656629 
-4.4 -4.3 0.015530538 0.015514544 0.015575126 
-4.3 -4.2 0.018656608 0.018632673 0.018696377 
-4.2 -4.1 0.022539778 0.022511845 0.022594437 
-4.1 -4.0 0.026593312 0.026583302 0.026653371 
-4.0 -3.9 0.031030742 0.031019848 0.031112547 
-3.9 -3.8 0.035917202 0.035886909 0.035986365 
-3.8 -3.7 0.041054641 0.041037685 0.041167129 
-3.7 -3.6 0.046672088 0.046647733 0.046765768 
-3.6 -3.5 0.052542024 0.052534825 0.0526796 
-3.5 -3.4 0.058487062 0.058417427 0.058576269 
-3.4 -3.3 0.064938251 0.064918744 0.065037124 
-3.3 -3.2 0.070967202 0.070929845 0.071083728 
-3.2 -3.1 0.077499245 0.07747632 0.077654971 
-3.1 -3.0 0.084404143 0.084359438 0.084566142 
-3.0 -2.9 0.090817866 0.090817866 0.090991449 
-2.9 -2.8 0.097542328 0.097480931 0.097694127 
-2.8 -2.7 0.10442698 0.10437933 0.10459224 
-2.7 -2.6 0.11091172 0.11088605 0.11105948 
-2.6 -2.5 0.11727584 0.11723541 0.11745838 
-2.5 -2.4 0.12349397 0.12347962 0.12366712 
-2.4 -2.3 0.12950063 0.12942412 0.12970054 
-2.3 -2.2 0.13592773 0.1359106 0.13609016 
-2.2 -2.1 0.1419528 0.14185258 0.14209866 
-2.1 -2.0 0.14723393 0.14719929 0.14744423 
-2.0 -1.9 0.15264897 0.15261361 0.1528611 
-1.9 -1.8 0.15868215 0.15864545 0.15887544 
-1.8 -1.7 0.16280719 0.16272475 0.16300312 
-1.7 -1.6 0.16770059 0.1676634 0.16791147 
-1.6 -1.5 0.17264498 0.17258847 0.17282752 
-1.5 -1.4 0.17697986 0.17688818 0.17719299 
-1.4 -1.3 0.18080896 0.18074985 0.18100146 
-1.3 -1.2 0.18497012 0.18489272 0.18520359 
-1.2 -1.1 0.18838929 0.18829569 0.18855988 
-1.1 -1.0 0.19095584 0.19091289 0.19115771 
-1.0 -0.9 0.19455458 0.19446594 0.19473824 
-0.9 -0.8 0.19646719 0.19640037 0.19669061 
-0.8 -0.7 0.19945271 0.19936634 0.19966746 
-0.7 -0.6 0.20157875 0.20152252 0.20180227 
-0.6 -0.5 0.20327369 0.20323308 0.20348433 
-0.5 -0.4 0.2041832 0.20407343 0.20435365 
-0.4 -0.3 0.20575987 0.20561726 0.20598259 
-0.3 -0.2 0.20633775 0.20632349 0.20657192 
-0.2 -0.1 0.20690306 0.20681533 0.20706522 
-0.1 0.0 0.20675379 0.20668992 0.20700649 
0.0 0.1 0.20750207 0.20742584 0.20765937 
0.1 0.2 0.20633873 0.20629729 0.20656108 
0.2 0.3 0.20654602 0.20644031 0.20674202 
0.3 0.4 0.20572821 0.20567799 0.20593475 
0.4 0.5 0.20409018 0.20402173 0.2043361 
0.5 0.6 0.20288328 0.20280381 0.20308972 
0.6 0.7 0.2017092 0.20164339 0.20190039 
0.7 0.8 0.19905854 0.19898008 0.19926062 
