# create_lambda_band.py -l -5.0 -nlo
# NLO cross-section {center, min, max}
0.22703297 0.22588131 0.22801753 


# NLO ptHH {ptmin, ptmax, center, min, max}
3.2 3.3 0.0044755956 0.0044480408 0.0045005655 
3.3 3.4 0.0035046267 0.0034836025 0.0035286238 
3.4 3.5 0.0027025629 0.0026879699 0.0027252284 
3.5 3.6 0.0020014581 0.001989885 0.0020130584 
3.6 3.7 0.0014656854 0.0014525549 0.0014732252 
3.7 3.8 0.0010230616 0.0010096778 0.0010398058 
3.8 3.9 0.00071180068 0.00070856096 0.0007180689 
3.9 4.0 0.0004728677 0.00046431213 0.0004779917 
4.0 4.1 0.00029083894 0.00028721284 0.00029587627 
4.1 4.2 0.0001845724 0.00018086389 0.00018693202 
4.2 4.3 0.00010438859 0.00010127069 0.00010605003 
4.3 4.4 5.6760215e-05 5.4956229e-05 5.7303417e-05 
4.4 4.5 2.8330068e-05 2.7680324e-05 2.9759508e-05 
4.5 4.6 1.2793345e-05 1.2511253e-05 1.3408559e-05 
4.6 4.7 5.784732e-06 5.5587344e-06 5.9792182e-06 
4.7 4.8 1.8959891e-06 1.6861842e-06 1.975676e-06 
4.8 4.9 6.2713532e-07 5.590862e-07 6.512551e-07 
4.9 5.0 1.6110102e-07 1.5436907e-07 1.6145435e-07 


# NLO ptH_s {ptmin, ptmax, center, min, max}
0.0 30.0 0.0010113768 0.0010051146 0.0010187046 
30.0 60.0 0.0020042889 0.0019927101 0.0020166735 
60.0 90.0 0.0017201297 0.001711203 0.001728529 
90.0 120.0 0.0011253884 0.001120093 0.0011298931 
120.0 150.0 0.00066997967 0.00066716009 0.00067222808 
150.0 180.0 0.00039148214 0.00038993434 0.00039291995 
180.0 210.0 0.00023148522 0.00023064692 0.00023247589 
210.0 240.0 0.0001405546 0.00014011249 0.00014133937 
240.0 270.0 8.7747617e-05 8.7488966e-05 8.8240442e-05 
270.0 300.0 5.6179976e-05 5.6003008e-05 5.6568044e-05 


# NLO yH_s {ptmin, ptmax, center, min, max}
-5.0 -4.9 4.6545632e-07 4.0569094e-07 5.5394365e-07 
-4.9 -4.8 1.7616526e-06 1.6906737e-06 1.8604113e-06 
-4.8 -4.7 5.9892788e-06 5.6401232e-06 6.5176848e-06 
-4.7 -4.6 1.2568952e-05 1.2061855e-05 1.3451372e-05 
-4.6 -4.5 2.950537e-05 2.8400272e-05 2.9567506e-05 
-4.5 -4.4 6.5861167e-05 6.3488845e-05 6.9995358e-05 
-4.4 -4.3 0.00011307564 0.00010986396 0.00011345645 
-4.3 -4.2 0.00018332712 0.0001796874 0.00018697055 
-4.2 -4.1 0.00030159196 0.00029459046 0.00030542364 
-4.1 -4.0 0.00048413414 0.00047184589 0.00049076416 
-4.0 -3.9 0.00071713404 0.000705621 0.00072401031 
-3.9 -3.8 0.0010481729 0.0010389745 0.0010622683 
-3.8 -3.7 0.0014631872 0.0014419578 0.0014807958 
-3.7 -3.6 0.0019733854 0.0019600711 0.0019829011 
-3.6 -3.5 0.002631057 0.0026113999 0.0026546521 
-3.5 -3.4 0.0034048288 0.0033855613 0.0034261556 
-3.4 -3.3 0.0042864813 0.0042606861 0.0043117821 
-3.3 -3.2 0.0053178964 0.0052923076 0.0053450389 
-3.2 -3.1 0.0065127882 0.0065016996 0.0065515297 
-3.1 -3.0 0.0078354387 0.0078098035 0.0078800432 
-3.0 -2.9 0.0093243772 0.0092780947 0.009377871 
-2.9 -2.8 0.010910447 0.01086294 0.010978575 
-2.8 -2.7 0.012696413 0.012615994 0.012771644 
-2.7 -2.6 0.01451176 0.014431438 0.014585334 
-2.6 -2.5 0.016429792 0.016338796 0.016534041 
-2.5 -2.4 0.018536797 0.018431082 0.018630872 
-2.4 -2.3 0.020551851 0.020451756 0.02067983 
-2.3 -2.2 0.02280034 0.022675682 0.022926534 
-2.2 -2.1 0.025040778 0.024894688 0.025164224 
-2.1 -2.0 0.027285453 0.027126783 0.027444173 
-2.0 -1.9 0.029435483 0.029264071 0.029577025 
-1.9 -1.8 0.031684005 0.031507531 0.031854667 
-1.8 -1.7 0.033888295 0.033689734 0.034041783 
-1.7 -1.6 0.036013324 0.035819443 0.036183787 
-1.6 -1.5 0.03814337 0.037932755 0.038338105 
-1.5 -1.4 0.040160994 0.039933483 0.040343262 
-1.4 -1.3 0.042127985 0.041905379 0.042324832 
-1.3 -1.2 0.043893744 0.043677446 0.044116166 
-1.2 -1.1 0.04562854 0.045381417 0.045861046 
-1.1 -1.0 0.047320773 0.047086461 0.047565836 
-1.0 -0.9 0.048739003 0.048466545 0.048977665 
-0.9 -0.8 0.050201074 0.049957669 0.050445704 
-0.8 -0.7 0.051518895 0.051252201 0.051804932 
-0.7 -0.6 0.05253794 0.052246945 0.05280593 
-0.6 -0.5 0.053445778 0.053182856 0.053715732 
-0.5 -0.4 0.054220158 0.053919756 0.054511606 
-0.4 -0.3 0.054883108 0.054579445 0.055170914 
