# create_lambda_band.py -l -9.0 -n3lo
# N3LO cross-section {center, min, max}
0.56757395 0.56738133 0.56819123 


# N3LO ptHH {ptmin, ptmax, center, min, max}
-2.1 -2.0 0.066596829 0.066554776 0.066678602 
-2.0 -1.9 0.07263034 0.07259122 0.07272623 
-1.9 -1.8 0.07846851 0.078432581 0.078580074 
-1.8 -1.7 0.084383789 0.084338216 0.084477963 
-1.7 -1.6 0.090432422 0.090409982 0.090559923 
-1.6 -1.5 0.096134016 0.096096016 0.096239259 
-1.5 -1.4 0.10141386 0.10135896 0.1015262 
-1.4 -1.3 0.1065474 0.10651501 0.10666454 
-1.3 -1.2 0.11200968 0.11197361 0.11212336 
-1.2 -1.1 0.1164126 0.11637788 0.11652248 
-1.1 -1.0 0.12081439 0.1207753 0.12095609 
-1.0 -0.9 0.12488376 0.12484839 0.12499142 
-0.9 -0.8 0.12845566 0.12842349 0.12858771 
-0.8 -0.7 0.1318544 0.13180881 0.13197704 
-0.7 -0.6 0.13488873 0.1348426 0.13500472 
-0.6 -0.5 0.13729131 0.13724595 0.13740212 
-0.5 -0.4 0.13967839 0.13963202 0.13980735 
-0.4 -0.3 0.14136863 0.14133467 0.14148987 
-0.3 -0.2 0.14280812 0.14276095 0.14290878 
-0.2 -0.1 0.14352187 0.14348428 0.14363973 
-0.1 0.0 0.14385956 0.14382173 0.14398445 
0.0 0.1 0.14411328 0.14406346 0.14423693 
0.1 0.2 0.14343374 0.14338508 0.14355337 
0.2 0.3 0.14252719 0.14248642 0.14264796 
0.3 0.4 0.14159338 0.14156225 0.14172821 
0.4 0.5 0.13979504 0.13974844 0.13989189 
0.5 0.6 0.13778498 0.13773419 0.13791885 
0.6 0.7 0.1350535 0.13500737 0.13516061 
0.7 0.8 0.13216371 0.13212346 0.13228793 
0.8 0.9 0.12825073 0.12820707 0.12835933 
0.9 1.0 0.12479253 0.12475485 0.12492633 
1.0 1.1 0.12075246 0.12073109 0.12087237 
1.1 1.2 0.1164146 0.1163667 0.11653215 
1.2 1.3 0.11156082 0.11153413 0.1116804 
1.3 1.4 0.10655402 0.1065175 0.10666769 
1.4 1.5 0.10146529 0.10143623 0.101581 
1.5 1.6 0.0961491 0.09610032 0.096256006 
1.6 1.7 0.090404342 0.090375679 0.090513354 
1.7 1.8 0.08445003 0.084417721 0.084562739 
1.8 1.9 0.078701949 0.078673238 0.078810929 
1.9 2.0 0.072717818 0.072674709 0.072805757 
2.0 2.1 0.066597835 0.066567718 0.066688976 
2.1 2.2 0.060665761 0.060632276 0.060754752 
2.2 2.3 0.054829885 0.054813946 0.054903622 
2.3 2.4 0.049126576 0.049102246 0.049207646 
2.4 2.5 0.04344482 0.043406697 0.04350796 
2.5 2.6 0.038346973 0.038329182 0.038412569 
2.6 2.7 0.033315336 0.033290264 0.033369403 
2.7 2.8 0.028556056 0.028536547 0.028610384 
2.8 2.9 0.02425332 0.024229894 0.024285742 
2.9 3.0 0.020235939 0.0202353 0.020287343 
3.0 3.1 0.01667803 0.016663284 0.016703268 
3.1 3.2 0.013465184 0.013450778 0.013486776 
3.2 3.3 0.010732452 0.0107199 0.010755027 
3.3 3.4 0.0083367032 0.0083324418 0.0083538414 
3.4 3.5 0.0063583917 0.00634765 0.006365292 
3.5 3.6 0.0047140969 0.004711431 0.0047251646 
3.6 3.7 0.0033655059 0.0033613297 0.0033693251 
3.7 3.8 0.0023522577 0.0023483016 0.0023553674 
3.8 3.9 0.0016265171 0.0016265171 0.00162948 
3.9 4.0 0.001050208 0.0010482134 0.0010513997 
4.0 4.1 0.00065725049 0.00065512445 0.0006576283 
4.1 4.2 0.00039157569 0.00039117455 0.00039206203 
4.2 4.3 0.00022059736 0.00022033872 0.00022069622 
4.3 4.4 0.00011216888 0.00011177301 0.00011233799 
4.4 4.5 5.6661556e-05 5.6661556e-05 5.6853953e-05 
4.5 4.6 2.5208837e-05 2.4892409e-05 2.5301125e-05 
4.6 4.7 1.0168678e-05 1.013298e-05 1.020757e-05 
4.7 4.8 3.3993032e-06 3.3575909e-06 3.4154981e-06 
4.8 4.9 1.0999043e-06 1.0886932e-06 1.1003312e-06 
4.9 5.0 2.4049832e-07 2.3897613e-07 2.4529006e-07 


# N3LO ptH_s {ptmin, ptmax, center, min, max}
0.0 30.0 0.002515612 0.0025147065 0.0025189015 
30.0 60.0 0.0050027698 0.0050009551 0.0050086402 
60.0 90.0 0.004307451 0.004306087 0.0043121668 
90.0 120.0 0.0028218766 0.0028209387 0.002824771 
120.0 150.0 0.0016810588 0.0016805533 0.0016826432 
