# create_lambda_band.py -l 6 -e 14 -nnlo
# NNLO cross-section {center, min, max}
0.029161722 0.029087949 0.029209018 


# NNLO ptHH {ptmin, ptmax, center, min, max}
-3.8 -3.7 5.2035713e-06 5.1249812e-06 5.2179431e-06 
-3.7 -3.6 9.8567164e-06 9.8007835e-06 9.9708221e-06 
-3.6 -3.5 1.8897689e-05 1.8732749e-05 1.8920866e-05 
-3.5 -3.4 3.3561061e-05 3.3438598e-05 3.3815684e-05 
-3.4 -3.3 5.650841e-05 5.602261e-05 5.6570214e-05 
-3.3 -3.2 9.1995288e-05 9.1225913e-05 9.2166079e-05 
-3.2 -3.1 0.00014470993 0.0001444251 0.00014514601 
-3.1 -3.0 0.00021203937 0.00021169794 0.00021222809 
-3.0 -2.9 0.00030846076 0.00030737576 0.00030891391 
-2.9 -2.8 0.00042969612 0.00042893319 0.00043059287 
-2.8 -2.7 0.00057727432 0.00057546732 0.00057806829 
-2.7 -2.6 0.00076080904 0.00075865725 0.00076177689 
-2.6 -2.5 0.00098246794 0.00097971414 0.00098423798 
-2.5 -2.4 0.0012294672 0.0012257928 0.0012316092 
-2.4 -2.3 0.0015146769 0.0015106695 0.0015163507 
-2.3 -2.2 0.0018318078 0.0018257941 0.0018343886 
-2.2 -2.1 0.0021824691 0.0021759943 0.0021856586 
-2.1 -2.0 0.0025560212 0.0025489979 0.0025598109 
-2.0 -1.9 0.0029616213 0.002953355 0.0029669053 
-1.9 -1.8 0.0033784243 0.0033682149 0.0033829 
-1.8 -1.7 0.0038252134 0.0038144302 0.0038340923 
-1.7 -1.6 0.0042547658 0.0042418779 0.0042621594 
-1.6 -1.5 0.0047098404 0.0046964817 0.0047162236 
-1.5 -1.4 0.0051618905 0.005147937 0.0051719129 
-1.4 -1.3 0.0056160112 0.0056013294 0.0056264144 
-1.3 -1.2 0.0060304035 0.0060149039 0.0060410522 
-1.2 -1.1 0.0064617326 0.0064436585 0.0064721876 
-1.1 -1.0 0.0068548266 0.0068391466 0.0068666928 
