# create_lambda_band.py -l 1.5 -lo
# LO cross-section {center, min, max}
0.006647367 0.0063256085 0.0070008138 


# LO ptHH {ptmin, ptmax, center, min, max}
-1.6 -1.5 0.0010716897 0.0010248125 0.0011262264 
-1.5 -1.4 0.0010854452 0.0010338138 0.0011369246 
-1.4 -1.3 0.0010943881 0.0010484107 0.0011442911 
-1.3 -1.2 0.0011059615 0.0010586438 0.0011557187 
-1.2 -1.1 0.0011126164 0.0010650861 0.0011632975 
-1.1 -1.0 0.0011188837 0.0010736653 0.0011687142 
-1.0 -0.9 0.0011251258 0.0010796629 0.0011694858 
-0.9 -0.8 0.0011280835 0.0010839866 0.0011734125 
-0.8 -0.7 0.0011293689 0.0010854353 0.0011739712 
-0.7 -0.6 0.0011332398 0.0010915176 0.0011765628 
-0.6 -0.5 0.0011398115 0.001096318 0.0011832153 
-0.5 -0.4 0.0011349628 0.0010961258 0.0011788919 
-0.4 -0.3 0.0011395238 0.0010968111 0.0011814235 
-0.3 -0.2 0.0011391345 0.0010996833 0.0011786226 
-0.2 -0.1 0.0011388342 0.0010981769 0.0011805244 
-0.1 0.0 0.0011377007 0.0010986281 0.0011804094 
0.0 0.1 0.0011411449 0.001099409 0.0011821737 
0.1 0.2 0.0011406045 0.0010995638 0.001181413 
0.2 0.3 0.0011383731 0.0010976606 0.001180016 
0.3 0.4 0.0011350514 0.0010953121 0.0011785101 
0.4 0.5 0.0011394232 0.0010972244 0.0011808169 
0.5 0.6 0.0011359326 0.0010924201 0.0011795016 
0.6 0.7 0.0011367342 0.0010939894 0.0011786572 
0.7 0.8 0.0011307022 0.0010870972 0.0011769762 
0.8 0.9 0.0011289034 0.0010852281 0.0011749944 
0.9 1.0 0.0011270925 0.0010818469 0.001173706 
1.0 1.1 0.0011188421 0.0010748134 0.0011678066 
1.1 1.2 0.0011102753 0.0010640585 0.0011599558 
1.2 1.3 0.0011044651 0.0010582362 0.0011538215 
1.3 1.4 0.001094482 0.0010460314 0.0011442267 
1.4 1.5 0.0010801759 0.0010325862 0.0011330418 
1.5 1.6 0.0010685282 0.0010211714 0.0011187102 
1.6 1.7 0.0010509442 0.0010009879 0.0011051992 
1.7 1.8 0.0010362162 0.00098794809 0.0010904449 
1.8 1.9 0.0010133413 0.0009608842 0.0010695419 
1.9 2.0 0.00098903123 0.00093888569 0.0010433732 
2.0 2.1 0.00095887125 0.00091081723 0.0010151459 
2.1 2.2 0.00093010741 0.00088209485 0.00098362394 
2.2 2.3 0.00089994399 0.00084833281 0.00095366935 
2.3 2.4 0.00086037789 0.00081660746 0.00091399374 
2.4 2.5 0.0008240316 0.00077461016 0.00087587648 
2.5 2.6 0.00077902312 0.00073415144 0.00083172891 
2.6 2.7 0.00073847492 0.00069455173 0.00078968853 
2.7 2.8 0.00068478631 0.00064382218 0.00073363704 
2.8 2.9 0.00063449501 0.00059607762 0.00068048869 
2.9 3.0 0.00058805793 0.0005478199 0.00062934951 
3.0 3.1 0.00052991432 0.00049722755 0.00057484902 
3.1 3.2 0.00048191852 0.00044611148 0.00051796252 
3.2 3.3 0.00042488921 0.0003947784 0.0004589588 
3.3 3.4 0.00037144012 0.00034490869 0.00040780342 
3.4 3.5 0.00032497635 0.00030006652 0.0003503082 
3.5 3.6 0.00027005374 0.0002500855 0.00029718119 
3.6 3.7 0.00022699489 0.00020604706 0.00024739574 
3.7 3.8 0.00018531597 0.00017123267 0.00020594615 
3.8 3.9 0.00014784249 0.00013378175 0.00016435454 
3.9 4.0 0.00011406564 0.00010305812 0.00012435139 
4.0 4.1 8.3098902e-05 7.7058213e-05 9.5313326e-05 
4.1 4.2 6.222609e-05 5.3700931e-05 6.7762898e-05 
4.2 4.3 4.0365078e-05 3.577983e-05 4.7162424e-05 
4.3 4.4 2.6033855e-05 2.338026e-05 2.950561e-05 
4.4 4.5 1.6317156e-05 1.4676532e-05 1.8341979e-05 
4.5 4.6 9.6029063e-06 8.692269e-06 1.0945875e-05 
4.6 4.7 4.9387415e-06 4.1181739e-06 5.6726725e-06 
4.7 4.8 2.183046e-06 1.9156311e-06 2.7467446e-06 
4.8 4.9 8.0439966e-07 6.3218569e-07 9.5107618e-07 
4.9 5.0 2.2179547e-07 1.7861429e-07 3.2847582e-07 


