# create_lambda_band.py -l 0.8
# N3LO cross-section {center, min, max}
0.0098703302 0.0098669748 0.0098793215 


# N3LO ptHH {ptmin, ptmax, center, min, max}
-4.2 -4.1 3.3790636e-05 3.3726788e-05 3.3868802e-05 
-4.1 -4.0 5.0179178e-05 4.9974234e-05 5.0272307e-05 
-4.0 -3.9 6.9973283e-05 6.9862167e-05 7.0061318e-05 
-3.9 -3.8 9.5800538e-05 9.564229e-05 9.5870948e-05 
-3.8 -3.7 0.00012740832 0.00012736875 0.00012781722 
-3.7 -3.6 0.00016323397 0.00016277642 0.00016333182 
-3.6 -3.5 0.00020390023 0.00020378453 0.00020418398 
-3.5 -3.4 0.00025161442 0.00025141786 0.00025212145 
-3.4 -3.3 0.00030551293 0.00030506578 0.00030583555 
-3.3 -3.2 0.00036477292 0.00036455317 0.0003650146 
-3.2 -3.1 0.00042493614 0.00042473936 0.00042567645 
-3.1 -3.0 0.00049287732 0.00049249758 0.00049324011 
-3.0 -2.9 0.00055850355 0.000557759 0.0005596125 
-2.9 -2.8 0.0006318656 0.00063172744 0.00063243188 
-2.8 -2.7 0.00071078068 0.00071024114 0.00071159753 
-2.7 -2.6 0.00078329526 0.00078309682 0.00078481667 
-2.6 -2.5 0.00086469633 0.00086374034 0.00086546983 
-2.5 -2.4 0.00094267647 0.00094259979 0.00094370455 
-2.4 -2.3 0.0010245667 0.0010241758 0.001026113 
-2.3 -2.2 0.0010993917 0.0010988525 0.0011003181 
-2.2 -2.1 0.0011820951 0.0011819253 0.0011838546 
-2.1 -2.0 0.0012584851 0.0012579132 0.0012594272 
-2.0 -1.9 0.0013352318 0.0013341061 0.0013367831 
-1.9 -1.8 0.0014063947 0.0014054192 0.0014071481 
-1.8 -1.7 0.001489587 0.0014892906 0.0014915341 
-1.7 -1.6 0.0015619656 0.0015613812 0.001562998 
-1.6 -1.5 0.0016246316 0.0016243771 0.0016268562 
-1.5 -1.4 0.0016920283 0.001691121 0.0016932083 
-1.4 -1.3 0.0017599503 0.0017591587 0.0017615813 
-1.3 -1.2 0.0018146589 0.0018141584 0.0018160295 
-1.2 -1.1 0.0018774899 0.0018765789 0.0018788016 
-1.1 -1.0 0.0019222147 0.0019216946 0.0019239415 
-1.0 -0.9 0.0019696045 0.0019688022 0.0019713035 
-0.9 -0.8 0.0020188606 0.0020188606 0.0020208087 
-0.8 -0.7 0.0020528289 0.0020517291 0.0020540121 
-0.7 -0.6 0.0020979068 0.0020972538 0.0020998482 
-0.6 -0.5 0.002125524 0.0021242985 0.0021266922 
-0.5 -0.4 0.0021472549 0.0021461019 0.0021490858 
-0.4 -0.3 0.0021706889 0.0021701964 0.0021723129 
-0.3 -0.2 0.0021888393 0.002188518 0.0021906717 
-0.2 -0.1 0.0021993468 0.0021982713 0.0022010132 
-0.1 0.0 0.0022005029 0.0022000522 0.0022020901 
0.0 0.1 0.0022040687 0.0022031866 0.0022050457 
0.1 0.2 0.0021911286 0.0021904429 0.0021928736 
0.2 0.3 0.0021891249 0.0021886928 0.0021908604 
0.3 0.4 0.0021770164 0.0021761001 0.0021788289 
0.4 0.5 0.0021487265 0.0021474195 0.0021501494 
0.5 0.6 0.0021217032 0.0021215068 0.0021238898 
0.6 0.7 0.0020930822 0.0020930822 0.002094904 
0.7 0.8 0.0020536778 0.0020527645 0.0020550562 
0.8 0.9 0.0020159678 0.002014515 0.0020172336 
0.9 1.0 0.0019716792 0.0019714043 0.0019733021 
1.0 1.1 0.0019316521 0.0019310395 0.0019335804 
1.1 1.2 0.0018760885 0.0018752585 0.0018775142 
1.2 1.3 0.0018178583 0.0018176697 0.0018195119 
1.3 1.4 0.0017528737 0.0017519589 0.0017542257 
1.4 1.5 0.0016928749 0.0016916779 0.0016939815 
1.5 1.6 0.0016267029 0.0016258698 0.0016280096 
1.6 1.7 0.0015537515 0.0015526629 0.001555539 
1.7 1.8 0.0014885725 0.0014880574 0.0014900063 
1.8 1.9 0.0014175569 0.0014169115 0.0014197246 
1.9 2.0 0.0013387269 0.0013386105 0.0013400969 
2.0 2.1 0.0012664948 0.001265946 0.0012674179 
2.1 2.2 0.0011785233 0.0011775712 0.0011792732 
2.2 2.3 0.0011029473 0.0011027285 0.001104636 
2.3 2.4 0.0010242196 0.0010234363 0.0010250352 
2.4 2.5 0.000943528 0.0009430897 0.00094479315 
2.5 2.6 0.00086829244 0.00086806395 0.00086978966 
2.6 2.7 0.00078859949 0.00078787973 0.00078922545 
2.7 2.8 0.00070639823 0.00070608017 0.00070729398 
2.8 2.9 0.00063041652 0.00063015416 0.00063119891 
2.9 3.0 0.00055608666 0.00055568737 0.0005570082 
3.0 3.1 0.00048973894 0.00048949156 0.00049039711 
3.1 3.2 0.00042534277 0.00042489682 0.00042639251 
3.2 3.3 0.00036366692 0.00036316326 0.00036389591 
3.3 3.4 0.00030455029 0.00030423807 0.00030498316 
3.4 3.5 0.00025187257 0.00025167885 0.00025239162 
3.5 3.6 0.00020541908 0.00020523751 0.00020569784 
3.6 3.7 0.00016328105 0.00016304863 0.00016332028 
3.7 3.8 0.0001260258 0.00012582589 0.00012612665 
3.8 3.9 9.62862e-05 9.6239273e-05 9.6481526e-05 
3.9 4.0 7.0725439e-05 7.0672572e-05 7.0784539e-05 
4.0 4.1 4.8724123e-05 4.8635198e-05 4.875729e-05 
4.1 4.2 3.3335085e-05 3.3309228e-05 3.3429663e-05 
4.2 4.3 2.2025276e-05 2.1919373e-05 2.2033328e-05 
4.3 4.4 1.3392726e-05 1.335251e-05 1.3426003e-05 
4.4 4.5 7.6565262e-06 7.6056858e-06 7.6565262e-06 
4.5 4.6 4.0180021e-06 3.9876795e-06 4.0180021e-06 
4.6 4.7 1.9396309e-06 1.9356653e-06 1.9664438e-06 
4.7 4.8 8.4548022e-07 8.3265268e-07 8.4548022e-07 
4.8 4.9 2.6813525e-07 2.6591308e-07 2.7262091e-07 
4.9 5.0 8.5659892e-08 8.3610563e-08 8.6787092e-08 


# N3LO ptH_s {ptmin, ptmax, center, min, max}
0.0 30.0 4.7012081e-05 4.6992424e-05 4.7066102e-05 
30.0 60.0 8.9931421e-05 8.9893846e-05 9.0019152e-05 
60.0 90.0 7.4256354e-05 7.4233872e-05 7.4324146e-05 
90.0 120.0 4.7100863e-05 4.7086135e-05 4.7139771e-05 
120.0 150.0 2.7472582e-05 2.7465359e-05 2.7494955e-05 
150.0 180.0 1.5827311e-05 1.5822512e-05 1.5838956e-05 
180.0 210.0 9.2966421e-06 9.2948207e-06 9.3042968e-06 
210.0 240.0 5.6491425e-06 5.64631e-06 5.6516729e-06 
240.0 270.0 3.5624603e-06 3.5602666e-06 3.5647893e-06 
270.0 300.0 2.3194742e-06 2.3194742e-06 2.3207473e-06 


# N3LO yH_s {ptmin, ptmax, center, min, max}
-5.0 -4.9 4.0147536e-07 3.9836928e-07 4.1060376e-07 
-4.9 -4.8 1.1128739e-06 1.098978e-06 1.1241088e-06 
-4.8 -4.7 2.8438614e-06 2.8093676e-06 2.8538249e-06 
-4.7 -4.6 6.0760515e-06 5.9779298e-06 6.2211858e-06 
-4.6 -4.5 1.1709062e-05 1.1585006e-05 1.1913993e-05 
-4.5 -4.4 2.1107357e-05 2.0978978e-05 2.1308056e-05 
-4.4 -4.3 3.3885715e-05 3.353765e-05 3.3885715e-05 
-4.3 -4.2 5.2658468e-05 5.2545616e-05 5.281022e-05 
-4.2 -4.1 7.8822102e-05 7.8455634e-05 7.8983955e-05 
-4.1 -4.0 0.00010599147 0.00010572777 0.00010614333 
-4.0 -3.9 0.00014456186 0.0001444813 0.00014498803 
-3.9 -3.8 0.00018615282 0.00018574042 0.00018615282 
-3.8 -3.7 0.00023694939 0.00023662824 0.00023738813 
-3.7 -3.6 0.00028510292 0.00028485502 0.0002853178 
-3.6 -3.5 0.0003506968 0.00035002075 0.00035107809 
-3.5 -3.4 0.00041492712 0.00041472214 0.00041519242 
-3.4 -3.3 0.00047776122 0.0004770561 0.00047804893 
-3.3 -3.2 0.00054678801 0.00054675888 0.00054710514 
-3.2 -3.1 0.0006241137 0.00062388579 0.00062455547 
-3.1 -3.0 0.00068808771 0.00068745493 0.00068871916 
-3.0 -2.9 0.0007669902 0.0007665106 0.00076777121 
-2.9 -2.8 0.00084592676 0.00084503798 0.00084629043 
-2.8 -2.7 0.00091044115 0.00090985061 0.00091133481 
-2.7 -2.6 0.00098204542 0.00098174703 0.0009828893 
-2.6 -2.5 0.0010523782 0.0010516919 0.0010537095 
-2.5 -2.4 0.0011206498 0.0011202528 0.0011210702 
-2.4 -2.3 0.0011829579 0.0011823599 0.0011843019 
-2.3 -2.2 0.001241007 0.0012402013 0.0012418811 
-2.2 -2.1 0.0013041102 0.0013039213 0.0013050327 
-2.1 -2.0 0.001356858 0.0013567499 0.0013580813 
-2.0 -1.9 0.001413412 0.0014124062 0.0014145788 
-1.9 -1.8 0.0014589348 0.0014583649 0.0014603652 
-1.8 -1.7 0.0015029654 0.0015020761 0.0015040314 
-1.7 -1.6 0.0015508943 0.0015507949 0.0015525424 
-1.6 -1.5 0.0015895175 0.0015892885 0.0015913156 
-1.5 -1.4 0.0016286754 0.0016277197 0.0016293371 
-1.4 -1.3 0.0016607983 0.0016600286 0.0016623501 
-1.3 -1.2 0.001698949 0.0016981183 0.0017004951 
-1.2 -1.1 0.0017229059 0.0017225511 0.0017245512 
-1.1 -1.0 0.001747868 0.0017472257 0.0017496937 
-1.0 -0.9 0.0017700476 0.001769669 0.0017718577 
-0.9 -0.8 0.0017895211 0.0017887072 0.0017916477 
-0.8 -0.7 0.0018065636 0.0018059038 0.0018081284 
-0.7 -0.6 0.0018226307 0.0018217201 0.0018243998 
-0.6 -0.5 0.0018430485 0.0018425621 0.0018451645 
-0.5 -0.4 0.0018512856 0.0018508434 0.001853014 
-0.4 -0.3 0.0018584014 0.001856849 0.0018594815 
-0.3 -0.2 0.0018663414 0.0018659599 0.0018693513 
-0.2 -0.1 0.0018747159 0.0018741651 0.0018769401 
-0.1 0.0 0.0018741611 0.0018732647 0.0018758992 
0.0 0.1 0.0018693466 0.0018684864 0.0018715902 
0.1 0.2 0.0018710709 0.0018703969 0.0018733502 
0.2 0.3 0.0018662031 0.0018653451 0.0018678403 
0.3 0.4 0.0018636271 0.0018626854 0.0018654658 
0.4 0.5 0.0018450653 0.0018445417 0.0018471174 
0.5 0.6 0.0018399904 0.0018396229 0.0018416858 
