# create_lambda_band.py -l -1 -e 14 -nlo
# NLO cross-section {center, min, max}
0.011484606 0.011435956 0.011565419 


# NLO ptHH {ptmin, ptmax, center, min, max}
0.2 0.3 0.0033319773 0.0033205821 0.0033555721 
0.3 0.4 0.0032970853 0.0032846151 0.0033207921 
0.4 0.5 0.0032371023 0.003224531 0.003258879 
0.5 0.6 0.0031662117 0.0031548228 0.0031884827 
0.6 0.7 0.003083779 0.0030719008 0.0031059907 
0.7 0.8 0.0029857843 0.0029744159 0.0030066254 
0.8 0.9 0.0028681259 0.0028578323 0.0028880808 
0.9 1.0 0.002740074 0.0027303044 0.0027584608 
1.0 1.1 0.0026240078 0.0026141163 0.0026423665 
1.1 1.2 0.0024941564 0.0024846096 0.0025105166 
1.2 1.3 0.0023504218 0.0023417798 0.0023672322 
1.3 1.4 0.0021959428 0.002187371 0.0022099188 
1.4 1.5 0.0020422715 0.0020330332 0.0020561541 
1.5 1.6 0.0018803458 0.0018702009 0.0018931635 
1.6 1.7 0.0017273057 0.001719899 0.0017389468 
1.7 1.8 0.001570132 0.0015606684 0.0015803915 
1.8 1.9 0.0014089378 0.001400958 0.0014186708 
1.9 2.0 0.0012598911 0.0012509205 0.0012683598 
2.0 2.1 0.0011181213 0.001109825 0.0011252679 
2.1 2.2 0.00097168217 0.00096427069 0.00097940634 
2.2 2.3 0.00083805335 0.00083129052 0.00084419797 
2.3 2.4 0.00071757972 0.00071080093 0.00072281636 
2.4 2.5 0.00060559529 0.00059879408 0.00060998676 
2.5 2.6 0.00050296314 0.00049663679 0.00050656363 
2.6 2.7 0.00040707542 0.00040210732 0.00041081983 
2.7 2.8 0.00032755925 0.00032353587 0.00032992404 
2.8 2.9 0.00025728604 0.00025308864 0.00025973724 
2.9 3.0 0.00019763 0.00019471798 0.00019991261 
3.0 3.1 0.00014997866 0.00014712928 0.00015116197 
3.1 3.2 0.00010821755 0.00010582982 0.00011006028 
3.2 3.3 7.7400707e-05 7.5370935e-05 7.8482018e-05 
3.3 3.4 5.2488155e-05 5.1180458e-05 5.3277505e-05 
3.4 3.5 3.4271224e-05 3.3090607e-05 3.4761305e-05 
3.5 3.6 2.1433303e-05 2.08203e-05 2.181207e-05 
3.6 3.7 1.2912204e-05 1.2502175e-05 1.324375e-05 
3.7 3.8 7.2580083e-06 6.9652191e-06 7.4805315e-06 
3.8 3.9 3.6596719e-06 3.3787817e-06 3.8125099e-06 
3.9 4.0 1.7381197e-06 1.7013478e-06 1.8090935e-06 
4.0 4.1 7.0364331e-07 6.7655586e-07 7.4238371e-07 
4.1 4.2 2.7811778e-07 2.4999418e-07 2.9260839e-07 
4.2 4.3 6.757898e-08 6.1361032e-08 7.853926e-08 
4.3 4.4 1.7516895e-08 1.5258057e-08 1.8554341e-08 
4.4 4.5 2.3502814e-09 1.9054689e-09 3.429273e-09 
4.5 4.6 1.7623856e-10 1.022404e-10 2.3963376e-10 
4.6 4.7 3.5026952e-13 2.6051358e-13 7.3369043e-12 
4.7 4.8 0.0 0.0 0.0 
4.8 4.9 0.0 0.0 0.0 
4.9 5.0 0.0 0.0 0.0 


# NLO ptH_s {ptmin, ptmax, center, min, max}
0.0 30.0 5.6599663e-05 5.6403798e-05 5.6924281e-05 
30.0 60.0 0.00010769984 0.00010735302 0.00010837639 
60.0 90.0 8.8040286e-05 8.7712461e-05 8.8636058e-05 
90.0 120.0 5.5081138e-05 5.4806674e-05 5.549514e-05 
120.0 150.0 3.1473217e-05 3.1265647e-05 3.1725021e-05 
150.0 180.0 1.7720881e-05 1.7576926e-05 1.787925e-05 
180.0 210.0 1.0080777e-05 9.9888617e-06 1.0174506e-05 
210.0 240.0 5.8970069e-06 5.8320353e-06 5.9537842e-06 
240.0 270.0 3.5611813e-06 3.516997e-06 3.6004176e-06 
270.0 300.0 2.2019335e-06 2.1712862e-06 2.2267839e-06 


# NLO yH_s {ptmin, ptmax, center, min, max}
-5.0 -4.9 0.0 0.0 0.0 
-4.9 -4.8 0.0 0.0 0.0 
-4.8 -4.7 0.0 0.0 0.0 
-4.7 -4.6 1.8817482e-12 1.8817482e-12 5.1028921e-12 
-4.6 -4.5 4.5895444e-10 3.0278474e-10 5.6801937e-10 
-4.5 -4.4 1.0307704e-08 8.8307508e-09 1.0307704e-08 
-4.4 -4.3 6.3709514e-08 5.0392013e-08 6.9735536e-08 
-4.3 -4.2 2.8753956e-07 2.5058478e-07 3.0368061e-07 
-4.2 -4.1 7.7060029e-07 7.3335995e-07 8.1606017e-07 
-4.1 -4.0 2.1818736e-06 1.9396255e-06 2.3851729e-06 
-4.0 -3.9 4.6486688e-06 4.6124692e-06 4.8913372e-06 
-3.9 -3.8 8.7877377e-06 8.3373231e-06 9.1926127e-06 
-3.8 -3.7 1.6033219e-05 1.5130067e-05 1.6431634e-05 
-3.7 -3.6 2.6167498e-05 2.5353526e-05 2.7266511e-05 
-3.6 -3.5 4.4059901e-05 4.2282589e-05 4.5300011e-05 
-3.5 -3.4 6.2305268e-05 6.0803658e-05 6.3569601e-05 
-3.4 -3.3 9.146032e-05 8.8375427e-05 9.3118056e-05 
-3.3 -3.2 0.00012606764 0.00012316421 0.00012716945 
-3.2 -3.1 0.00017032979 0.00016604032 0.00017302283 
-3.1 -3.0 0.0002191991 0.00021492947 0.00022149857 
-3.0 -2.9 0.00028115695 0.00027620314 0.00028440533 
-2.9 -2.8 0.00035184613 0.00034586437 0.00035587638 
-2.8 -2.7 0.00043244576 0.00042718575 0.00043647913 
-2.7 -2.6 0.00052144338 0.00051445756 0.00052599873 
-2.6 -2.5 0.00061459082 0.00060764851 0.00062079589 
-2.5 -2.4 0.00072879378 0.00071979329 0.00073434316 
-2.4 -2.3 0.00084140149 0.00083315272 0.00084828259 
-2.3 -2.2 0.00096092657 0.00095340895 0.00096831787 
-2.2 -2.1 0.0010915424 0.0010827048 0.0010991107 
-2.1 -2.0 0.0012222647 0.0012127909 0.0012311872 
-2.0 -1.9 0.0013589537 0.0013499024 0.0013688299 
-1.9 -1.8 0.0014970594 0.0014883011 0.0015065563 
-1.8 -1.7 0.0016397601 0.0016302661 0.001650979 
-1.7 -1.6 0.0017784458 0.0017698927 0.0017906784 
-1.6 -1.5 0.0019133283 0.0019051644 0.0019263782 
-1.5 -1.4 0.0020558898 0.0020467787 0.0020691548 
-1.4 -1.3 0.0021818286 0.0021740806 0.0021968072 
-1.3 -1.2 0.0023118647 0.0023037399 0.0023276485 
-1.2 -1.1 0.0024344508 0.0024251164 0.0024496555 
-1.1 -1.0 0.0025526009 0.002543756 0.002569932 
-1.0 -0.9 0.0026623485 0.0026528051 0.0026800225 
-0.9 -0.8 0.0027615318 0.0027514603 0.0027802333 
-0.8 -0.7 0.0028538354 0.0028437946 0.0028730695 
-0.7 -0.6 0.0029341479 0.0029237148 0.0029537169 
-0.6 -0.5 0.0030015725 0.0029902712 0.0030219629 
-0.5 -0.4 0.0030625611 0.0030505488 0.0030831691 
-0.4 -0.3 0.0031051558 0.0030921284 0.0031261976 
-0.3 -0.2 0.003141792 0.0031298656 0.0031630404 
-0.2 -0.1 0.0031712711 0.0031595207 0.0031930054 
-0.1 0.0 0.0031839168 0.0031705323 0.0032049607 
0.0 0.1 0.0031827843 0.0031714489 0.0032051581 
0.1 0.2 0.003169159 0.0031561363 0.0031902091 
0.2 0.3 0.0031417602 0.0031304601 0.0031628604 
0.3 0.4 0.0031044572 0.0030928482 0.0031254601 
0.4 0.5 0.0030584497 0.0030462403 0.003079602 
0.5 0.6 0.0030053075 0.0029944021 0.0030252312 
0.6 0.7 0.0029328428 0.0029215396 0.0029524396 
0.7 0.8 0.002851128 0.0028404252 0.0028692236 
0.8 0.9 0.0027527999 0.0027431724 0.0027720263 
0.9 1.0 0.0026584885 0.0026500448 0.0026775964 
1.0 1.1 0.002556755 0.0025461582 0.0025727564 
1.1 1.2 0.0024404061 0.0024321696 0.002456679 
1.2 1.3 0.0023139515 0.0023057652 0.0023294163 
1.3 1.4 0.002186472 0.002178478 0.0022012434 
1.4 1.5 0.0020548094 0.0020459602 0.0020684852 
1.5 1.6 0.0019156838 0.0019065432 0.0019286947 
1.6 1.7 0.0017755262 0.0017677525 0.0017857966 
1.7 1.8 0.0016384958 0.0016286587 0.0016514888 
1.8 1.9 0.0014975824 0.0014891634 0.0015064874 
1.9 2.0 0.0013577472 0.0013483695 0.0013683018 
2.0 2.1 0.0012225191 0.0012144387 0.0012316796 
2.1 2.2 0.0010946904 0.0010847449 0.0011024293 
2.2 2.3 0.00096337255 0.00095429109 0.0009708503 
2.3 2.4 0.00083894232 0.00083148918 0.00084521602 
2.4 2.5 0.00072458669 0.00071668971 0.00073121132 
2.5 2.6 0.00061950456 0.00061272479 0.00062393312 
2.6 2.7 0.00052435154 0.00051714808 0.00052935599 
2.7 2.8 0.00043425753 0.00042845232 0.00043872736 
2.8 2.9 0.00035469124 0.00034785598 0.0003582663 
2.9 3.0 0.00028151183 0.00027614904 0.00028464948 
3.0 3.1 0.00021888489 0.00021475005 0.00022213861 
3.1 3.2 0.00016923044 0.00016551572 0.00017080684 
3.2 3.3 0.0001265546 0.00012364235 0.00012820879 
3.3 3.4 9.2486241e-05 8.9723977e-05 9.3967996e-05 
3.4 3.5 6.2413566e-05 6.0061954e-05 6.3689238e-05 
3.5 3.6 4.0847034e-05 3.9614688e-05 4.2042826e-05 
3.6 3.7 2.6741619e-05 2.5821539e-05 2.7141738e-05 
3.7 3.8 1.6199838e-05 1.5660914e-05 1.6793476e-05 
3.8 3.9 9.5230758e-06 9.1220826e-06 9.7766125e-06 
3.9 4.0 5.314147e-06 5.1584336e-06 5.4601524e-06 
4.0 4.1 2.374149e-06 2.1952325e-06 2.5875465e-06 
4.1 4.2 9.8689843e-07 8.4274936e-07 9.9611751e-07 
4.2 4.3 2.9567239e-07 2.6744578e-07 3.5390055e-07 
4.3 4.4 6.3854418e-08 5.6399419e-08 6.9884847e-08 
4.4 4.5 8.0875935e-09 8.0875935e-09 1.4283485e-08 
4.5 4.6 7.3859104e-10 5.648941e-10 8.3001192e-10 
4.6 4.7 4.8345189e-12 2.8652117e-12 1.3448836e-11 
4.7 4.8 0.0 0.0 0.0 
4.8 4.9 0.0 0.0 0.0 
4.9 5.0 0.0 0.0 0.0 


