# create_lambda_band.py -l 1.0 -nnlo
# NNLO cross-section {center, min, max}
0.0084094944 0.0083866754 0.008427812 


# NNLO ptHH {ptmin, ptmax, center, min, max}
-4.5 -4.4 7.3274114e-06 7.3024901e-06 7.3676155e-06 
-4.4 -4.3 1.2464685e-05 1.2356004e-05 1.2499264e-05 
-4.3 -4.2 2.0587276e-05 2.0451323e-05 2.0732396e-05 
-4.2 -4.1 3.2126242e-05 3.1964656e-05 3.2191838e-05 
-4.1 -4.0 4.6660212e-05 4.6484331e-05 4.6796754e-05 
-4.0 -3.9 6.6164285e-05 6.6007389e-05 6.6289808e-05 
-3.9 -3.8 8.9050185e-05 8.8757275e-05 8.9314506e-05 
-3.8 -3.7 0.00011859963 0.00011812132 0.00011874414 
-3.7 -3.6 0.00015046243 0.00014985697 0.00015070556 
-3.6 -3.5 0.00018868589 0.00018840362 0.00018928618 
-3.5 -3.4 0.00022997617 0.00022929523 0.00023065637 
-3.4 -3.3 0.00027873268 0.00027744628 0.00027929846 
-3.3 -3.2 0.00032920179 0.00032841958 0.00033012387 
-3.2 -3.1 0.00038529373 0.00038339687 0.00038581444 
-3.1 -3.0 0.00044242636 0.00044114993 0.00044328783 
-3.0 -2.9 0.00049999808 0.00049894481 0.00050180496 
-2.9 -2.8 0.00056345445 0.00056109282 0.0005641724 
-2.8 -2.7 0.00062993263 0.00062737655 0.00063156234 
-2.7 -2.6 0.00069342694 0.00069152284 0.00069503896 
-2.6 -2.5 0.00076169745 0.00075982112 0.00076387227 
-2.5 -2.4 0.00082771413 0.00082517396 0.00082921515 
-2.4 -2.3 0.00089269928 0.00089012437 0.00089575301 
-2.3 -2.2 0.00095703896 0.00095498268 0.00095990194 
-2.2 -2.1 0.0010246383 0.0010213227 0.0010265503 
-2.1 -2.0 0.0010883134 0.0010849203 0.0010910443 
-2.0 -1.9 0.0011441264 0.0011408833 0.0011473055 
-1.9 -1.8 0.0012103131 0.0012077642 0.0012130551 
-1.8 -1.7 0.0012709702 0.0012667195 0.0012742497 
-1.7 -1.6 0.0013302931 0.0013271473 0.0013323591 
-1.6 -1.5 0.0013847613 0.0013818776 0.0013886762 
-1.5 -1.4 0.0014333757 0.0014278004 0.0014358938 
-1.4 -1.3 0.0014869853 0.0014845635 0.0014910832 
-1.3 -1.2 0.0015379389 0.0015332739 0.0015411398 
-1.2 -1.1 0.0015756512 0.0015708241 0.0015792186 
-1.1 -1.0 0.0016179433 0.0016139958 0.0016213941 
-1.0 -0.9 0.0016582611 0.0016543123 0.0016617903 
-0.9 -0.8 0.001694106 0.0016891348 0.0016974231 
